IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
Майкоп, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9184490047; 9628551550";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;10:00 - 19:00;Выходной;Выходной;Нет;;6561
Нальчик, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9898017208; 9184490047";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 18:00;Выходной;Выходной;Нет;;3258
Новороссийск, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9628581640; 9184490047";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 18:00;Выходной;Выходной;Нет;;6124
Пятигорск, Dom&Decor (ИП Федоров В.А.) ;ул. Беговая, д. 12а;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9628581644;9898017208";salon_ptg@dom-decor.com;salon_ptg@dom-decor.com;evroplast-krd.ru;09:00 - 18:00;10:00 - 15:00;Выходной;Нет;;3733
Туапсе, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9184490047; 9628551550";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 18:00;Выходной;Выходной;Нет;;6759
Черкесск, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9898017208; 9184490047";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 18:00;Выходной;Выходной;Нет;;47496
"Химки, ООО &quot;ГК РЕВАДО&quot;,  ООО &quot;РЕМОНТ ВАШЕГО ДОМА&quot; ";г. Химки, Вашутинское шоссе, владение 18А, павильон В13;Строительный рынок «Химкинский двор»;;"ООО ""ГК РЕВАДО"", ООО ""РЕМОНТ ВАШЕГО ДОМА""";РеВаДо;"4951206664; 4952498888";info@revado.ru;zakaz@revado.ru;e-dz.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
Москва, ТЦ Мебель Сити (Термокит) ;Дмитровское шоссе, д. 118, корп. 1, 1 этаж;"Торговый центр ""Мебель Сити""";;"ООО""Термокит""";Термокит;"74951353333; 88007751411";opt@termokit.ru;opt@termokit.ru;www.termokit.ru;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;Да;;3109
Великие Луки, Магазин-студия ЭКЛЕКТИКА (Октябрьский пр-т)  ;Октябрьский пр-т, д. 138;;;"ООО ""Эклектика Плюс"" ";Магазин-студия ;9062248579;;;;09:00 - 18:00;09:00 - 18:00;Выходной;Нет;;52538
"г. Егорьевск, СР &quot;Хозяин&quot; (Компания &quot;Седьмое небо&quot; ИП Пулькин П.В.) ";г. Егорьевск,  ул. А.Невского, д. 2, пав. 70;"Строительный рынок ""Хозяин""";;"Компания ""Седьмое небо"" ИП Пулькин П.В.";"Строительный рынок ""Хозяин"" пав. 70";"9854591003; 9250502472";info@eu-kraski.ru;yarri@inbox.ru;yarri@inbox.ru;08:00 - 18:00;08:00 - 15:00;08:00 - 15:00;Да;;3109
г. Коломна, Евро-Краски (И.П. Селифанова Е.В.) ;г. Коломна, Октябрьской революции, 387а, пав. 1;"Торговый Комплекс ""Коломенский Строитель""";;И.П. Селифанова Е.В.;Евро-Краски;"9175083050; 9261546125";info@eu-kraski.ru;info@eu-kraski.ru;eu-kraski.ru;09:00 - 17:00;09:00 - 16:00;09:00 - 16:00;Да;;3109
"Московская область, г. Орехово-Зуево, ТЦ &quot;АНГЛИЙСКИЙ ПАССАЖ&quot; (ИП Черный А.В.) ";г. Орехово-Зуево, ул. Ленина, д. 90, 1 этаж;"Торговый центр ""АНГЛИЙСКИЙ ПАССАЖ""";1-й павильон справа на 1-м этаже;ИП Черный А.В.;Планета красок;"9688561406; 4997555227";info@planeta-decora.ru;info@planeta-decora.ru;planeta-decora.ru;09:00 - 18:00;10:00 - 17:00;10:00 - 17:00;Да;;3109
Московская область, г. Солнечногорск, Лепнина (ИП Григорян С.А.) ;г. Солнечногорск, ул. Красная, владение 1, пав. 11;"Торговый центр ""ПОСТРОЙКА""";;ИП Григорян С.А.;Лепнина;"9261815352; 9259315455";info@planeta-decora.ru;info@planeta-decora.ru;planeta-decora.ru;08:00 - 21:00;08:00 - 21:00;08:00 - 21:00;Да;;3109
г. Щелково, Павильон Лепнина-Декор (ИП Мателин Н.А.) ;Щелковский р-он д. Набережная ул. Спартаковская д. 3 (23 км от МКАД Щелковское или Ярославское шоссе) Главное зданее;"ТК ""Сельпо""";Между Щелково-7 и Ивантеевкой (по навигатору д. Байбаки);ИП Мателин Н.А.;Павильон Лепнина-Декор;"4956491416; 9261012196";dtarasov16@yandex.ru;dtarasov16@yandex.ru;;09:00 - 18:30;09:00 - 18:30;09:00 - 18:30;Да;;3109
"Салехард, ООО «Новый Рим» (Компания &quot;Арт Триумф&quot;) ";ул.Республики, д. 77, 1 этаж;" Интерьерный салон ""Арт Триумф""";;ООО «Новый Рим»;"Компания ""Арт Триумф""";"3492261971; 9028161971";rommus4371@mail.ru;rommus4371@mail.ru;art-triumph.com;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;53164
"Москва, ТК &quot;Никольский Парк&quot;  (ИП Оленев А.Е.) ";г.Балашиха, Носовихинское шоссе, д. 4, павильон 3-63;"ТК ""Никольский Парк""";;ИП Оленев А.Е.;Вывеска Лепнина;"9258432810; 9263971001";lepmarket2014@gmail.com;lepmarket2014@gmail.com;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Москва, ТК &quot;Конструктор&quot; (ИП Оленев А.Е.) ";"25км МКАД, внешняя сторона, ТК ""Конструктор"", павильон 2-18 на втором этаже ,павильон Б1-18 галерея на улице";"ТК ""Конструктор""";;ИП Оленев А.Е.;Лепнина;"4957804271; 4957804270";lepmarket2014@gmail.com;lepmarket2014@gmail.com;;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3109
"Москва, Рынок &quot;Каширский дом - №2&quot; (ИП Оленев А.Е.) ";Каширское шоссе, д. 1, Каширский двор 2, павильоны №8-12;Рынок Каширский Двор №2;;ИП Оленев А.Е.;Лепнина;"9263419647; 9257124778";lepmarket2014@gmail.com;lepmarket2014@gmail.com;;09:00 - 18:00;09:00 - 21:00;09:00 - 21:00;Да;;3109
"Раменское, ООО &quot;ПЛАНЕТА ДЕКОРА&quot; ТК &quot;Стройдвор&quot; ";Московская область, г. Раменское, ул. Транспортный проезд, д. 1-Б;"Офис и склад на территории ТК ""Стройдвор""";Складской комплекс за автомойкой;"ООО ""ПЛАНЕТА ДЕКОРА""";Лепнина;"4997555227; 8002225227";planeta-decora@mail.ru;planeta-decora@mail.ru;planeta-decora.ru;08:30 - 17:00;Выходной;Выходной;Нет;;3263
Московская обл., Ногинск, 52 км Горьковского шоссе, (ИП Хапачева О.М.) ;Московская область, 52 км Горьковского шоссе, пав.5;"на площадке ""ЛЕРУА МЕРЛЕН"", ТЦ ""Мебель гуд""";;ИП Хапачева О.М.;Лепной декор;"9646441893; 9858039237";planeta-decora@mail.ru;planeta-decora@mail.ru;planeta-decora.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Новокузнецк,  магазин &quot;Ламинат-НК&quot; (ООО &quot;СКД плюс&quot;) ";проспект Строителей, д. 55а, этаж 1;"БЦ ""Новый офис""";;"ООО ""СКД плюс""";"магазин ""Ламинат-НК""";3843460792;skdplus@yandex.ru;opt@evroplast-nsk.ru;www.laminat-nk.ru;09:00 - 19:00;10:00 - 16:00;Выходной;Нет;;3696
"Новокузнецк, дизайн-студия &quot;Zeta Style&quot; (ООО&quot;Зета-Стиль&quot;) ";пр-кт Н.С.Ермакова, д. 22;;;"ООО""Зета-Стиль""";"дизайн-студия ""Zeta Style""";3843328727;zeta-style@mail.ru;opt@evroplast-nsk.ru;;10:00 - 19:00;11:00 - 16:00;Выходной;Нет;;3696
Туймазы, магазин КЕРАМА МИКС (ИП Сагирова Р.Р.) ;ул. Островского, д. 81, этаж 2 (стенд);;Тубанкуль;ИП Сагирова Р.Р.;магазин КЕРАМА МИКС;"79871339814; 3478256249";ipsagirova@mail.ru;rozetufa@gmail.com;;09:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;59639
"Москва, ТЦ &quot;Корабль&quot; Европласт Куркино (ИП Панюшкин А.Н.) ";ул. Воротынская, 18, цокольный этаж;Торговый центр;"Лестница рядом с Лифтом, Лифт напротив касс ""Перекрестка""";ИП Панюшкин А.Н.;"Торговый центр ""Корабль"" Европласт Куркино";"4952279595; 9154054478";2279595@gmail.com;2279595@gmail.com;;10:00 - 21:00;10:00 - 19:00;10:00 - 19:00;Да;;3109
Москва, рынок Мельница (Теплый стан) (ИП ОЛТУ И.В.) ;41 км МКАД, 4с.14, пав. Б-23/3;рынок Мельница (Теплый стан);"""Прима Лепнина"" в яндекс навигаторе ";ИП ОЛТУ И.В.;Б-23/3;"4954112741; 9169421322";igolt@mail.ru;igolt@mail.ru;www.Lepninatop.ru;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;Да;;3109
Подольск, ТЦ Молоток 2 (ИП ОЛТУ И.В.) ;г. Подольск, проезд Авиаторов, 1, пав. А-32;"ТЦ ""МОЛОТОК 2""";;ИП ОЛТУ И.В.;А-32;"4954112741; 9169421322";igolt@mail.ru;igolt@mail.ru;www.Lepninatop.ru;09:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
Москва, г. Люберцы, Строймаркет (ИП ОЛТУ И.В.) ;г.Люберцы, Новорязанское шоссе, 25-й километр, с16, пав. 27Б, 16Б;Строймаркет;;ИП ОЛТУ И.В.;27Б, 16Б;"4954112741; 9169421322";igolt@mail.ru;igolt@mail.ru;www.Lepnina-store.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
Москва, рынок Мельница (Славянский мир) (ООО ЕВРОДЕК) ;МКАД 41 км в нешняя сторона, 4 С30, пав. Б 1/3;  Рынок  МЕЛЬНИЦА (Славянский мир)  ;Заезд со МКАДа направо до конца ряда  ;ООО ЕВРОДЕК;ЛЕПНИНА ;9091528234;lepno@mail.ru;lepno@mail.ru;www.lepno.ru;09:00 - 19:10;09:30 - 17:30;09:30 - 17:30;Да;;3109
Московская обл, Новоивановское, МОЖАЙСКИЙ ДВОР (ООО ЕВРОДЕК) ;Московская обл., Можайское шоссе, рабочий посёлок Новоивановское, ул. Западная, с100, цокольный этаж, пав. D2;МОЖАЙСКИЙ ДВОР;;ООО ЕВРОДЕК;ЛЕПНИНА ;9263436082;lepno@mail.ru;lepno@mail.ru;www.lepno.ru;09:00 - 19:10;09:30 - 17:30;09:30 - 17:30;Да;;3109
"Воронеж, Магазин &quot;Два Декора&quot; (Жилой массив &quot;Олимпийский&quot;) ";"Жилой массив ""Олимпийский"", д. 12 (1 этаж)";;Вход с кольца;"ООО ""Дон-Декор""";"Магазин ""Два Декора"" ";4732757101;support@2decor.ru;vpn@dondecor.ru;www.2decor.ru;12:00 - 20:00;12:00 - 20:00;12:00 - 20:00;Нет;Понедельник;3125
"Москва,  ТК &quot;МЕЛЬНИЦА&quot; (ИП Бирюкова Е.В..) ";"МКАД, 41 км, Внешняя сторона, ТК ""МЕЛЬНИЦА"", павильон Г15/1";"ТК ""МЕЛЬНИЦА""";"Яндекс навигатор ""Центр лепнины""";ИП Бирюкова Е.В.;Лепнина;9629630555;info@lepnina.center;info@lepnina.center;lepnina.center;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Лениногорск, Магазин &quot;Каскад&quot; (ИП Мягдеев М.Р.) ";ул. Чайковского, д. 1;Отдельно стоящее здание, магазин;;ИП Мягдеев Марат Равилевич;"Магазин ""Каскад""";8559525662;kaskad.dubochki@mail.ru;kaskad.dubochki@mail.ru;;08:00 - 19:00;08:00 - 18:00;08:00 - 18:00;Да;;64754
Нижний Тагил, Студия San Marco (ИП Калакуцкий М.А.) ;ул. Октябрьской революции, д.66 (5 этаж), образцы, инсталляция;ЦУМ;"Торговый центр ""ЦУМ""";ИП Калакуцкий М.А.;Студия интерьерных решений San Marco;3435421248;dp2815@yandex.ru;info@evroplast-ekaterinburg.ru ;color-nt.ru;10:00 - 19:00;10:00 - 19:00;10:00 - 18:00;Да;;3522
Нижний Тагил, магазин SULTAN (ИП Султанов А.Р.) ;ул. Ленина, д.13 (2 этаж), образцы, инсталляция;;;ИП Султанов А.Р.;магазин отделочных материалов SULTAN;3435379041;info@isultan.ru;info@evroplast-ekaterinburg.ru ;isultan.ru;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3522
 г. Серов, Салон Марабу (ИП Михайлова Н.С.) ;ул. Карла Маркса, 26, офис 4 (образцы);;;ИП Михайлова Н.С.;Салон Интерьерных решений Марабу;3438575363;marabu-tdrus@mail.ru;info@evroplast-ekaterinburg.ru ;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;64992
"г. Качканар, Магазин обоев &quot;ТехностройДекор&quot; (ООО &quot;Технострой-Декор&quot;) ";ул. Качканарская, 2б (образцы);;;"ООО ""Технострой-Декор""";"Магазин обоев ""ТехностройДекор""";3434131051;tsdekor@bk.ru;info@evroplast-ekaterinburg.ru ;;10:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Да;;64994
 г. Новоуральск, Салон Да Винчи (ТЦ Территория) ;ул. Комсомольская, 18, 2 этаж (образцы);ТЦ Территория;;"ООО ""ДаВинчи""";Салон интерьера и мебели Да Винчи;"3437075115; 9041719907";salon66@bk.ru;info@evroplast-ekaterinburg.ru ;davinchi66.ru;11:00 - 19:00;11:00 - 19:00;11:00 - 19:00;Да;;64996
" г. Новоуральск, магазин &quot;Строй Решение&quot; (ИП Дедюхина А.И.) ";ул. Крупской, 11 (образцы, инсталляция);;;ИП Дедюхина А.И.;"магазин ""Строй Решение""";3437091934; str-nv@bk.ru;info@evroplast-ekaterinburg.ru ;stresh.info-torg.ru;10:00 - 19:00;10:00 - 16:00;10:00 - 16:00;Да;;64996
"Первоуральск, магазин &quot;Галерея Керамики&quot; (ИП Францкевич М.А.) ";ул. Ленина, д.25а, образцы;;;ИП Францкевич М.А.;"магазин ""Галерея Керамики""";3439221332;luxkeramika@yandex.ru;info@evroplast-ekaterinburg.ru ;gk196.ru;09:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3556
г. Лесной, компания ART Дизайн  ;ул. Ленина, 5а (образцы);;;"ООО ""ART Дизайн""";компания ART Дизайн;3434270833;artdesign4@yandex.ru;info@evroplast-ekaterinburg.ru ;artlesnoy.ru;11:00 - 19:00;11:00 - 16:00;11:00 - 16:00;Да;;65000
г. Ирбит, Студия дизайна интерьера ДомСтиль (ТЦ Шоколад) ;ул. Советская, 94 (образцы, инсталляция);ТЦ Шоколад;;ИП Кузеванова Вера Алексеевна;Студия дизайна интерьера ДомСтиль;"3435570077; 9505548111";70077diz@mail.ru;info@evroplast-ekaterinburg.ru ;70077.рф;10:00 - 18:00;11:00 - 16:00;Выходной;Нет;;65002
"г. Ревда, магазин &quot;7 квадратных метров&quot; (ИП Епифанова Е.В.) ";ул. О.Кошевого, д.31 (образцы);;;ИП Епифанова Е.В.;"магазин ""7 квадратных метров""";9222112478;sevencom777@mail.ru;info@evroplast-ekaterinburg.ru ;;10:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Да;;65004
"Междуреченск, Центр дизайна &quot;Доминанта&quot; (ИП Мухорчева) ";ул. Лазо, д.35, этаж 1;;;ИП Мухорчева;"Центр дизайна ""Доминанта""";9236303663;dominanta42@gmail.com;;доминанта42.рф;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;66545
"Южно-Сахалинск, ООО &quot;ПРАЙМ САХ&quot; ";ул. Невельского, д. 37;;;"ООО ""ПРАЙМ САХ""";Магазин декоративных красок и лепнины;"4242556268; 4242255259";interiorsalonsakh@gmail.com;interiorsalonsakh@gmail.com;;10:00 - 19:00;Выходной;Выходной;Нет;;6132
Южно-Сахалинск, Фламинго (ИП Иванов Е.А.) ;ул. Комсомольская, д. 247б;ТД Зодчий;;ИП Иванов Е.А.;Фламинго;4242556533;;interiorsalonsakh@gmail.com;;10:00 - 19:00;Выходной;Выходной;Нет;;6132
Южно-Сахалинск, Роял (ИП Иванов Е.А.) ;ул. Украинская, д. 65;ТД Идея;;ИП Иванов Е.А.;Роял;4242556109;;interiorsalonsakh@gmail.com;;10:00 - 19:00;Выходной;Выходной;Нет;;6132
Южно-Сахалинск, Виттория (ИП Иванов Е.А.) ;ул. Железнодорожная, д. 168, корп. 2;Гипермаркет Зодчий;;ИП Иванов Е.А.;Виттория;4242556031;;interiorsalonsakh@gmail.com;;10:00 - 19:00;Выходной;Выходной;Нет;;6132
Тбилиси, Салон «STUDIO CASA» (ООО Презент) ;ул. Торнике Эристави, д. 1, этаж 1;отдельный салон;;ООО Презент;Салон «STUDIO CASA»;"995558111711; 995558111711";baindurov07@mail.ru;std.casa@gmail.com;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;70968
"Курган, магазин &quot;DeKoр&quot; (ИП Панасов И.В.) ";ул. Гоголя, д. 128, образцы, инсталляция;;;ИП Панасов И.В.;"магазин обоев ""DeKoр""";3522630143;dekor_oboi@mail.ru;info@evroplast-ekaterinburg.ru ;;10:00 - 19:00;10:00 - 18:00;10:00 - 17:00;Да;;3481
Каменск-Уральский, студия DERUFA (ИП Сарапульцева Е.Г.) ;ул. Челябинская, д.18, образцы;Дом Контор;;ИП Сарапульцева Екатерина Григорьевна;студия декора и дизайна интерьера DERUFA;9089089029;derufa-kamensk@mail.ru;info@evroplast-ekaterinburg.ru ;;11:00 - 19:00;11:00 - 16:00;11:00 - 16:00;Да;;3462
Камышин, ARCOBALENO (ИП Маликова Е.А.) ;5 микрорайон, д 52в (1 этаж);;;ИП Маликова Е.А.;ARCOBALENO;9272514319;malikova.e@bk.ru;malikova.e@bk.ru;;09:00 - 18:00;09:00 - 16:00;09:00 - 16:00;Да;;76007
Москва, Фермерский базар Бессарабка (ИП Будза С.В.) ;ул. Ленина, д.76, корпус 1, пав. 25;Фермерский базар Бессарабка;;ИП Будза С.В.;Дом лепнины;9060378109;info@lepnostyle.ru;info@lepnostyle.ru;lepnostyle.ru;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Москва, ТРЦ &quot;Family Room&quot; (ИП Мартиросян А.С.) ";Киевское шоссе д. 8, 23-й км, строение 1, пав. GR32 (1 этаж);"ТРЦ ""Family Room""";;ИП Мартиросян А.С.;FUKSI;"4957904030; 9161575646";info@fuksi.ru;info@fuksi.ru;www.fuksi.ru;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;Да;;3109
"Рязань, Раменское, ООО &quot;ПЛАНЕТА ДЕКОРА&quot; ТК &quot;Стройдвор&quot; ";Московская область, г. Раменское, ул. Транспортный проезд, д. 1-Б;"Офис и склад на территории ТК ""Стройдвор""";Складской комплекс за автомойкой;"ООО ""ПЛАНЕТА ДЕКОРА""";Лепнина;"8002225227; 89262747037";planeta-decora@mail.ru;planeta-decora@mail.ru;planeta-decora.ru;08:30 - 17:00;Выходной;Выходной;Нет;;3189
Баку, CASAMİA ;ул. Академика Гасана Алиева, д. 51;сеть магазинов CASAMİA;;CASAMİA;;"994125416171; 994502663030 ";info@casamia.az;info@casamia.az;www.casamia.az;09:00 - 20:00;09:00 - 20:00;выходной;Нет;;3287
Баку, CASAMİA ;пр. Свободы, д. 199;сеть магазинов CASAMİA;;CASAMİA;;994125411718;info@casamia.az;info@casamia.az;www.casamia.az;09:00 - 20:00;09:00 - 20:00;выходной;Нет;;3287
Баку, CASAMİA ;ул. М. Мушфига, 11/13;сеть магазинов CASAMİA;;CASAMİA;;994125380585;info@casamia.az;info@casamia.az;www.casamia.az;09:00 - 20:00;09:00 - 20:00;выходной;Нет;;3287
Краснодар, Goldshell (ИП Шичков) ;улица Бабушкина, д.234, 2 этаж;;;Goldshell (ИП Шичков);Goldshell;9951232234;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3149
Краснодар, Центральный склад Европласт (ИП Федоров В.А.) ;улица Майский проезд, 18/10, 1 этаж;Складской комплекс;;ИП Федоров В.А.;Центральный склад Европласт;9184397414;;;;09:00 - 18:00;Выходной;Выходной;Нет;;3149
"Ярославль, Салон &quot;Европласт&quot; (ООО &quot;Ренессанс&quot; ООО &quot;Декор Коллекция&quot;) ";пр-т Московский, д. 54А, 1 этаж;;;"ООО ""Ренессанс""";"Салон ""Европласт""";9065117650;evroplast76@mail.ru;evroplast76@mail.ru;;09:00 - 19:00;09:00 - 19:00;Выходной;Нет;;3237
"Ташкент, ООО &quot;Evotek&quot; ";ул.Оккургон, д. 14А;Мизо-Улугбекский район;;"ООО ""Evotek""";магазин ПРЕМЬЕРА;"998955154949; 998903506623";info@premierauz.uz;info@premierauz.uz;;10:00 - 19:00;10:00 - 19:00;выходной;Нет;;3671
"Лабытнанги, ООО «Новый Рим» (Компания &quot;Арт Триумф&quot;) ";ул.Республики, д. 77, 1 этаж;" Интерьерный салон ""Арт Триумф""";;ООО «Новый Рим»;"Компания ""Арт Триумф""";"3492261971; 9028161971";rommus4371@mail.ru;rommus4371@mail.ru;art-triumph.com;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;94982
Калуга, Домострой (ИП Низов С.А.) ;Секиотовское кольцо, д. 5, 1 этаж;ТЦ Клевер, магазин «Домострой»;;ИП Низов С.А.;Домострой;"4842276296; 9106000155";smesi.kaluga@yandex.ru;smesi.kaluga@yandex.ru;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3143
"Нижнекамск, М-н &quot;Метр&quot; (ИП Капарчук С. В.) ";улица Шинников, д. 35А;"М-н ""Метр""";"Фитнес центр ""Оранж""";ИП Капарчук С. В.;"М-н ""Метр""";9179071777;sankam16@mail.ru;sankam16@mail.ru;;09:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Да;;6531
Альметьевск, Стройключ (Статус Кво) ;ул.Индустриальная, д. 28, 1 этаж;магазин;;Статус Кво;Стройключ;"9872269624; 9872701267";zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3723
"Москва, ТК &quot;Владимирский тракт&quot; Северный проезд (ИП Бочкова И.С.) ";"г.Реутов, Северный проезд, д.1, пав. ""П""-4 №";"ТК ""Владимирский Тракт""";"АЗС ""РОСНЕФТЬ""";ИП Бочкова И.С.;"Павильон ""П""-4 №9";"9672809996; 9163163438";bochkovai@mail.ru;bochkovai@mail.ru;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
"Москва, ТЦ &quot;Можайский Двор&quot; (ИП Бочкова И.С.) ";"Одинцовский район, РП Новоивановское, ул.Западная, строение 100, пав. ""В""-46";"ТЦ ""Можайский Двор""";ЖД станция Немчиновка;ИП Бочкова И.С.;"Павильон ""В""-46";"9672809996; 9163163438";bochkovai@mail.ru;bochkovai@mail.ru;;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3109
"Москва, ТК &quot;Строй Парк&quot; (ИП Горбаченко К.А.) ";"г. Балашиха, м-рн Железнодорожный, ул.Пригородная, 92 ""В"", пав.6 (1 этаж)";"ТК ""Строй Парк""";;ИП Горбаченко К.А.;"""Дом лепнины""";"9250798522; 9299682068";domlepnina@mail.ru;domlepnina@mail.ru;domlepnina.ru;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;Да;;3109
"Москва, ТК &quot;Владимирский тракт&quot; (ИП Горбаченко К.А.) ";"г.Реутов, а/м Москва-Н.Новгород, владение 19, к.""З"", пав. 12 (1 этаж)";"ТК ""Владимирский Тракт""";;ИП Горбаченко К.А.;"""Дом лепнины""";"9250798522; 9299682068";domlepnina@mail.ru;domlepnina@mail.ru;domlepnina.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
"Москва, ТК &quot;Владимирский тракт&quot; (ИП Горбаченко К.А.) ";"г.Реутов, а/м Москва-Н.Новгород, владение 19, к.""Ф"", пав. 17 (2 этаж)";"ТК ""Владимирский Тракт""";;ИП Горбаченко К.А.;"""Дом лепнины""";"9250798522; 9299682068";domlepnina@mail.ru;domlepnina@mail.ru;domlepnina.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
"Москва, ТК &quot;Владимирский тракт&quot; (ИП Горбаченко К.А.) ";"г.Реутов, а/м Москва-Н.Новгород, владение 19, к.""И"", пав. 1 (1 этаж)";"ТК ""Владимирский Тракт""";;ИП Горбаченко К.А.;"""Дом лепнины""";"9250798522; 9299682068";domlepnina@mail.ru;domlepnina@mail.ru;domlepnina.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
"Москва, ТК &quot;Владимирский тракт&quot; (ИП Горбаченко К.А.) ";"г.Реутов, а/м Москва-Н.Новгород, владение 19, к.""Т"", пав. 26 (2 этаж)";"ТК ""Владимирский Тракт""";;ИП Горбаченко К.А.;"""Дом лепнины""";"9250798522; 9299682068";domlepnina@mail.ru;domlepnina@mail.ru;domlepnina.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
"Самара, Бутик интерьера &quot;FORROOM&quot;  ";ул. Арцыбушевская, д. 33 (1 этаж);;;"ООО ""Форрум""";Бутик интерьера Forroom;8462000643;forroom@forroom.ru;forroom@forroom.ru;;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3192
"Костанай,  Салон &quot;Decoroom&quot; (ИП &quot;Чагай&quot;) ";ул.Тауельсыздык, д.166, этаж 1;;;"ИП ""Чагай""";"Салон ""Decoroom""";7773018080;region2@evp.kz;region2@evp.kz;;10:00 - 19:00;Выходной;Выходной;Нет;;6733
"Костанай,  Магазин &quot;Технострой&quot; (ТОО &quot;WFторгстрой&quot;) ";ул.Воинов интернационалистов, д.8, этаж 1;;;"ТОО ""WFторгстрой""";"Магазин ""Технострой""";7056350767;;;;09:00 - 18:00;Выходной;Выходной;Нет;;6733
"Атырау, (ИП &quot;Кабдуллина А.Ш&quot;) "; мкр. Авангард, ул. Курмангазы, 39 (1 этаж);"ТД ""Ак-Орда""";;"ИП ""Кабдуллина А.Ш.""";;"7022395853; 7019958819";region1@evp.kz;zakaz@evp.kz;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;6325
"Тараз, интерьер-салон &quot; Interior Room&quot; (ИП &quot;Галимов Ф Р)&quot; ";ул.Ташкентская, 150, 2 этаж;"магазин ""Абсолют""";;ИП Галимов Ф.Р.;"Интерьер-салон ""Interior Room""";7053276644;region1@evp.kz;zakaz@evp.kz;;10:00 - 18:00;10:00 - 16:00;Выходной;Нет;;3314
